PigID	Age at death	Weight 	Season	Year	Time between death and placement on the facility
1	1	1280	Summer	2015	2
2	2	1580	Summer	2015	2
3	35	4960	Summer	2015	3
4	35	4680	Summer	2015	4
5	28	9160	Autumn	2015	1
6	28	6640	Autumn	2015	0
7	1	1370	Autumn	2015	0
8	1	1230	Autumn	2015	0
9	1	1360	Winter	2015-16	5
10	30	5360	Winter	2015-16	5
11	34	7410	Winter	2015-16	5
12	1	2570	Winter	2015-16	2
13	33	4330	Spring	2016	1
14	34	5840	Spring	2016	2
15	1	800	Spring	2016	1
16	1	1110	Spring	2016	2
19	14	2275	Summer	2016	3
20	14	2636	Summer	2016	2
21	24	4765	Summer	2016	1
22	40	9800	Summer	2016	1
23	30	6615	Summer	2016	1
24	1	1784	Autumn	2016	1
25	50	9840	Autumn	2016	1
26	42	7845	Autumn	2016	1
27	2	1935	Autumn	2016	2
28	2	1705	Autumn	2016	2
29	35	6050	Winter	2016-17	2
30	2	1640	Winter	2016-17	2
31	2	2190	Winter	2016-17	1
32	35	4620	Winter	2016-17	2
33	35	6120	Spring	2017	1
34	28	4230	Spring	2017	2
35	1	1770	Spring	2017	1
36	1	1150	Spring	2017	1
37	2	1300	Summer	2017	2
38	37	4700	Summer	2017	3
39	2	2220	Summer	2017	1
40	45	5900	Summer	2017	1
41	0	1700	Autumn	2017	1
42	0	2100	Autumn	2017	1
43	30	7800	Autumn	2017	2
45	28	4300	Winter	2017-18	1
46	35	5400	Winter	2017-18	3
47	1	1000	Winter	2017-18	0
48	1	1300	Winter	2017-18	0
49	0	1100	Spring	2018	1
50	0	1900	Spring	2018	1
51	33	7700	Spring	2018	1
52	35	6100	Spring	2018	1
53	10	1400	Summer	2018	0
54	10	2000	Summer	2018	0
55	55	10100	Summer	2018	0
56	34	10500	Summer	2018	1
57	30	9700	Autumn	2018	2
58	30	10000	Autumn	2018	2
59	0	1600	Autumn	2018	0
60	0	1900	Autumn	2018	0
61	1	2600	Winter	2018-19	2
62	21	5500	Winter	2018-19	1
63	49	7000	Winter	2018-19	2
64	10	2400	Winter	2018-19	1
65	35	6900	Spring	2019	1
66	47	7600	Spring	2019	2
67	4	2700	Spring	2019	1
68	15	2300	Spring	2019	0
