,Nr,Sex,Age,Stature,Femur.right,Femur.left,Femur.right.dry,Femur.left.dry,Tibia.right,Tibia.left,Fibula.right,Fibula.left,Humerus.right,Humerus.left,Radius.right,Radius.left,Ulna.right,Ulna.left
1,1,m,52,152,NA,39.6,NA,39.6,31.4,31.2,31,31,29,28.5,22.4,22,23.7,23.4
2,2,m,71,154,40.6,41.5,40.5,41.5,35,35,34.5,34.4,30.5,30.1,23.6,23,25.4,24.7
3,3,m,51,157,41.4,NA,41,NA,35.2,35,33.9,34.2,30.5,30,21.8,21.8,23.5,23.4
4,4,m,81,158,43.5,43,43.2,42.8,34.5,34.5,33.8,33.8,30.5,NA,22.8,NA,24.7,NA
5,5,m,67,159,44.1,44,43.8,43.4,34.7,34.3,34.5,34.3,32.5,32,23.4,23.1,25.7,25.4
6,6,m,85,160,44,44.2,43.5,43.8,36.2,36.2,35.2,35.2,32.1,32,24,23.4,25.5,25.5
7,7,m,79,160,42.3,42,42,41.8,34.2,34.2,33.6,33.6,31,30.5,22.5,22.2,23.7,23.5
8,8,m,50,160,42.8,43.5,42.8,43.2,33.8,33.4,33.6,33.4,31.4,31,24.4,24.3,22.5,22
9,9,m,50,161,44,43.2,44,43.2,36,NA,35.2,35.2,33,32.8,24.9,NA,26.4,NA
10,10,m,67,161,42.1,41.8,41.8,41.5,34.8,34.2,33.8,33.7,30.4,30,22.1,21.9,23.8,23.4
11,11,m,57,162,44,44.2,43.5,44,37.7,37.7,36.8,36.8,32.8,32.4,23.2,22.8,25.5,24.9
12,12,m,82,162,43.3,43.8,43,43.5,35.5,35.2,34.7,34.7,31.6,31.4,24.3,23.7,26.2,26
13,13,m,79,163,43.6,44.2,43.4,44,36.8,36.8,35.8,35.8,31.8,31.5,23.6,23.6,25.4,25.2
14,14,m,82,163,44.9,44.8,44.5,44.5,NA,36,NA,35.8,NA,33,24.8,24.4,26.9,26.3
15,15,m,71,163,47.4,47.3,47,47,35.6,35.5,35.5,35.5,32,31.2,23.4,22.8,25.1,24.3
16,16,m,42,163,44.5,43.8,44.2,43.5,36,35.5,35.2,35.2,32.5,31.7,23.8,23.3,25.5,25
17,17,m,65,164,43,43,43,43,35.2,34.8,34.4,34.3,31.5,31.3,23.1,22.7,24.7,24.5
18,18,m,35,164,41.4,42,41,41.6,35.7,35.7,36.8,36.5,32.6,32.4,24.5,24.4,26,25.8
19,19,m,45,164,45.2,46,45.5,45.6,36,36,35.5,35.1,32,31.7,23.7,23.5,25.6,25.4
