Nr Stature Femur.right Femur.left Femur.right.dry Femur.left.dry
2 154 40.6 41.5 40.5 41.5
4 158 43.5 43 43.2 42.8
5 159 44.1 44 43.8 43.4
6 160 44 44.2 43.5 43.8
7 160 42.3 42 42 41.8
8 160 42.8 43.5 42.8 43.2
9 161 44 43.2 44 43.2
10 161 42.1 41.8 41.8 41.5
11 162 44 44.2 43.5 44
12 162 43.3 43.8 43 43.5
13 163 43.6 44.2 43.4 44
14 163 44.9 44.8 44.5 44.5
15 163 47.4 47.3 47 47
16 163 44.5 43.8 44.2 43.5
17 164 43 43 43 43
18 164 41.4 42 41 41.6
19 164 45.2 46 45.5 45.6
20 165 44 44.4 43.6 44
21 166 45.8 45.4 45.5 45
22 166 46.7 47.4 46.5 47.1
23 166 46.4 46.9 47.1 47.3
24 166 43 43.4 42.5 43
25 166 45.4 45.3 45.1 45
26 167 46.4 46.5 46 46.1
27 167 46.4 46.5 46.5 46
28 167 44 44 44 44.1
29 167 45 44.5 44.5 44.3
30 167 44.7 44.4 44.5 44.2
31 168 45.2 45.2 45.2 45.2
32 169 48.5 48.5 48 48.2
33 169 49.4 49 49.2 48.9
34 170 47.3 47.4 47 47.1
35 170 44.4 44.7 44 44.4
36 170 45.6 45.2 45 45.7
37 170 48 48.1 47.5 47.4
38 171 44.2 44.6 44 44.4
39 171 47 47.2 46.6 47
40 171 43.3 43.6 43 43.5
41 171 46.4 45.8 46 45.5
42 172 47.2 47.4 46.9 47.2
43 172 45.7 46.4 45.5 46.2
44 173 47.9 47.6 47.4 47.2
45 173 48 48.8 47.6 48.3
46 173 47.7 47.6 47.5 47.4
47 173 48.7 48.6 48.5 48.2
48 174 48.7 48 48 47.6
49 176 48.7 48.5 48.2 48.2
50 177 50 50.4 49.8 50.2
