"id" "N_transits" "sem_group"
"1" 1 6 "gr1"
"2" 2 9 "gr1"
"3" 3 15 "gr1"
"4" 4 10 "gr1"
"5" 5 14 "gr1"
"6" 6 10 "gr1"
"7" 7 12 "gr1"
"8" 8 10 "gr1"
"9" 9 9 "gr1"
"10" 10 13 "gr1"
"11" 11 10 "gr1"
"12" 12 10 "gr1"
"13" 13 11 "gr1"
"14" 14 9 "gr1"
"15" 15 13 "gr1"
"16" 16 9 "gr1"
"17" 17 9 "gr1"
"18" 18 10 "gr1"
"19" 19 9 "gr1"
"20" 20 11 "gr1"
"21" 21 12 "gr1"
"22" 22 14 "gr1"
"23" 23 8 "gr1"
"24" 24 12 "gr1"
"25" 25 12 "gr1"
"26" 26 11 "gr1"
"27" 27 9 "gr1"
"28" 28 14 "gr1"
"29" 29 10 "gr1"
"30" 30 12 "gr1"
"31" 31 11 "gr2"
"32" 32 10 "gr2"
"33" 33 11 "gr2"
"34" 34 11 "gr2"
"35" 35 6 "gr2"
"36" 36 8 "gr2"
"37" 37 11 "gr2"
"38" 38 12 "gr2"
"39" 39 11 "gr2"
"40" 40 11 "gr2"
"41" 41 10 "gr2"
"42" 42 11 "gr3"
"43" 43 12 "gr3"
"44" 44 13 "gr3"
"45" 45 12 "gr3"
"46" 46 14 "gr3"
"47" 47 7 "gr3"
"48" 48 13 "gr3"
"49" 49 9 "gr3"
"50" 50 12 "gr4"
"51" 51 10 "gr4"
"52" 52 10 "gr4"
"53" 53 12 "gr4"
"54" 54 12 "gr4"
"55" 55 10 "gr4"
"56" 56 12 "gr4"
"57" 57 13 "gr4"
"58" 58 13 "gr5"
"59" 59 11 "gr5"
"60" 60 11 "gr5"
"61" 61 11 "gr5"
"62" 62 12 "gr5"
"63" 63 14 "gr5"
"64" 64 10 "gr5"
"65" 65 12 "gr5"
"66" 66 12 "gr5"
"67" 67 11 "gr5"
"68" 68 8 "gr5"
"69" 69 14 "gr5"
"70" 70 11 "gr5"
"71" 71 11 "gr5"
