"Date" "Location...Operator" "Aircraft.Type...Registration" "Fatalities" "year" "date" "casualties_onboard" "souls_onboard" "casualities_ground"
"1" "17 Sep 1908" "Fort Myer, VirginiaMilitary - U.S. Army" "Wright Flyer III?" "1/2(0)" 1920 1908-09-17 1 2 0
"2" "07 Sep 1909" "Juvisy-sur-Orge, France?" "Wright ByplaneSC1" "1/1(0)" 1920 1909-09-07 1 1 0
"3" "12 Jul 1912" "Atlantic City, New JerseyMilitary - U.S. Navy" "Dirigible?" "5/5(0)" 1920 1912-07-12 5 5 0
"4" "06 Aug 1913" "Victoria, British Columbia, CanadaPrivate" "Curtiss seaplane?" "1/1(0)" 1920 1913-08-06 1 1 0
"5" "09 Sep 1913" "Over the North SeaMilitary - German Navy" "Zeppelin L-1 (airship)?" "14/20(0)" 1920 1913-09-09 14 20 0
"6" "17 Oct 1913" "Near Johannisthal, GermanyMilitary - German Navy" "Zeppelin L-2 (airship)?" "28/28(0)" 1920 1913-10-17 28 28 0
"7" "05 Mar 1915" "Tienen, BelgiumMilitary - German Navy" "Zeppelin L-8 (airship)?" "17/41(0)" 1920 1915-03-05 17 41 0
"8" "03 Sep 1915" "Off Cuxhaven, GermanyMilitary - German Navy" "Zeppelin L-10 (airship)?" "19/19(0)" 1920 1915-09-03 19 19 0
"9" "28 Jul 1916" "Near Jambol, BulgeriaMilitary - German Army" "Schutte-Lanz S-L-10 (airship)?" "20/20(0)" 1920 1916-07-28 20 20 0
"10" "24 Sep 1916" "Billericay, EnglandMilitary - German Navy" "Zeppelin L-32 (airship)?" "22/22(0)" 1920 1916-09-24 22 22 0
"11" "01 Oct 1916" "Potters Bar, EnglandMilitary - German Navy" "Zeppelin L-31 (airship)?" "19/19(0)" 1920 1916-10-01 19 19 0
"12" "21 Nov 1916" "Mainz, GermanyMilitary - German Army" "Super Zeppelin (airship)?" "27/28(0)" 1920 1916-11-21 27 28 0
"13" "28 Nov 1916" "Off West Hartlepool, EnglandMilitary - German Navy" "Zeppelin L-34 (airship)?" "20/20(0)" 1920 1916-11-28 20 20 0
"14" "04 Mar 1917" "Near Gent, BelgiumMilitary - German Army" "Airship?" "20/20(0)" 1920 1917-03-04 20 20 0
"15" "30 Mar 1917" "Off Northern GermanyMilitary - German Navy" "Schutte-Lanz S-L-9 (airship)?" "23/23(0)" 1920 1917-03-30 23 23 0
"16" "14 May 1917" "Near Texel Island, North SeaMilitary - German Navy" "Zeppelin L-22 (airship)?" "21/21(0)" 1920 1917-05-14 21 21 0
"17" "14 Jun 1917" "Off Vlieland Island, North SeaMilitary - German Navy" "Zeppelin L-43 (airship)?" "24/24(0)" 1920 1917-06-14 24 24 0
"18" "17 Jun 1917" "Near Yarmouth, England?" "Zepplin L-48 (air ship)L-48" "14/16(0)" 1920 1917-06-17 14 16 0
"19" "21 Aug 1917" "Off western DenmarkMilitary - German Navy" "Zeppelin L-23 (airship)?" "18/18(0)" 1920 1917-08-21 18 18 0
"20" "20 Oct 1917" "Near Luneville, FranceMilitary - German Navy" "Zeppelin L-44 (airship)?" "18/18(0)" 1920 1917-10-20 18 18 0
"21" "07 Apr 1918" "Over the MediterraneanMilitary - German Navy" "Zeppelin L-59 (airship)?" "23/23(0)" 1920 1918-04-07 23 23 0
"22" "05 Aug 1918" "Off Helgoland Island, GermanyMilitary - German Navy" "Zeppelin L-70 (airship)?" "22/22(0)" 1920 1918-08-05 22 22 0
"23" "11 Aug 1918" "Ameland Island, North SeaMilitary - German Navy" "Zeppelin L-53 (airship)?" "19/19(0)" 1920 1918-08-11 19 19 0
"24" "16 Dec 1918" "Elizabeth, New JerseyUS Aerial Mail Service" "De Havilland DH-497" "1/1(0)" 1920 1918-12-16 1 1 0
"25" "25 May 1919" "Cleveland, OhioUS Aerial Mail Service" "De Havilland DH-461" "1/1(0)" 1920 1919-05-25 1 1 0
"26" "19 Jul 1919" "Dix Run, PennsylvaniaUS Aerial Mail Service" "De Havilland DH-482" "1/1(0)" 1920 1919-07-19 1 1 0
"27" "21 Jul 1919" "Chicago, IllinoisWingfoot Air Express Goodyear Tire" "FD Type Dirigible?" "3/?(10)" 1920 1919-07-21 NA NA NA
"28" "02 Aug 1919" "Verona, ItalyCaproni Company" "Caproni Ca.48?" "14/14(0)" 1920 1919-08-02 14 14 0
"29" "02 Oct 1919" "Newcastle, EnglandAircraft Transport and Travel" "De Havilland DH-4?" "1/1(0)" 1920 1919-10-02 1 1 0
"30" "14 Oct 1919" "Cantonsville, MarylandUS Aerial Mail Service" "Curtiss R-4LM32" "1/1(0)" 1920 1919-10-14 1 1 0
"31" "20 Oct 1919" "English Channel off Forkstone, KentAircraft Transport and Travel" "De Havilland DH-4G-EAHG" "0/0(0)" 1920 1919-10-20 0 0 0
"32" "30 Oct 1919" "Long Valley, New JerseyUS Aerial Mail Service" "De Havilland DH.477" "1/1(0)" 1920 1919-10-30 1 1 0
"33" "11 Dec 1919" "Catherham, Surrey, UKAircraft Travel Transport" "de Havilland DH-4G-EAHF" "1/1(0)" 1920 1919-12-11 1 1 0
"34" "10 Mar 1920" "New Paris, IndianaUS Aerial Mail Service" "De Havilland DH-465" "1/1(0)" 1920 1920-03-10 1 1 0
"35" "30 Mar 1920" "Newark, New JerseyUS Aerial Mail Service" "De Havilland DH-472" "1/1(0)" 1920 1920-03-30 1 1 0
"36" "10 Apr 1920" "Newark, New JerseyUS Aerial Mail Service" "Curtiss R-4LM49" "1/2(0)" 1920 1920-04-10 1 2 0
"37" "11 Apr 1920" "Heller Field, New JerseyUS Aerial Mail Service" "Curtiss JN-4H44" "1/2(0)" 1920 1920-04-11 1 2 0
"38" "12 May 1920" "Oskaloosa, IowaUS Aerial Mail Service" "De Havilland DH-479" "1/2(0)" 1920 1920-05-12 1 2 0
"39" "06 Jun 1920" "Cleveland, OhioUS Aerial Mail Service" "De Havilland DH-4204" "1/1(0)" 1920 1920-06-06 1 1 0
"40" "20 Jul 1920" "Cartagena, ColumbiaCompañia Colombiana de Navegación Aérea" "Farman F-40?" "1/1(0)" 1920 1920-07-20 1 1 0
"41" "16 Aug 1920" "Bedford, EnglandBy Air" "Armstrong-Whitworth F-K-8G-EALW" "1/1(0)" 1920 1920-08-16 1 1 0
"42" "16 Aug 1920" "College Park, MarylandUS Aerial Mail Service" "De Havilland DH-4317" "1/1(0)" 1920 1920-08-16 1 1 0
"43" "01 Sep 1920" "Morristown, New JerseyUS Aerial Mail Service" "Junkers JL-6305" "2/2(0)" 1920 1920-09-01 2 2 0
"44" "15 Sep 1920" "Pemberville, OhioUS Aerial Mail Service" "Junkers F-13308" "2/2(0)" 1920 1920-09-15 2 2 0
"45" "27 Sep 1920" "Hillersburg, PennsylvaniaUS Aerial Mail Service" "De Havilland DH-4316" "1/1(0)" 1920 1920-09-27 1 1 0
"46" "02 Oct 1920" "Off Port Vendres, FranceLatecoere Airlines" "Salmson 2-A-2F-ALAI" "2/2(0)" 1920 1920-10-02 2 2 0
"47" "05 Oct 1920" "Valencia, SpainLatecoere Airlines" "Breguet 14F-ALTA" "2/2(0)" 1920 1920-10-05 2 2 0
"48" "15 Oct 1920" "Batavia, IllinoisUS Aerial Mail Service" "De Havilland DH-476" "1/1(0)" 1920 1920-10-15 1 1 0
"49" "07 Nov 1920" "Tie Siding, WyomingUS Aerial Mail Service" "De Havilland DH-4?" "1/1(0)" 1920 1920-11-07 1 1 0
"50" "14 Dec 1920" "London, EnglandHandley Page Transport" "Handley Page HP-16G-EAMA" "4/8(0)" 1920 1920-12-14 4 8 0
"51" "24 Dec 1920" "Barcelona, SpainAeropostale" "Breguet 14F-ALBO" "1/1(0)" 1920 1920-12-24 1 1 0
"110" "03 Feb 1921" "Mendotta, MinnisotaUS Aerial Mail Service" "De Havilland DH-4130" "1/1(0)" 1921 1921-02-03 1 1 0
"210" "09 Feb 1921" "La Crosse, WisconsinUS Aerial Mail Service" "Junkers F-13301" "3/3(0)" 1921 1921-02-09 3 3 0
"310" "15 Feb 1921" "Off GibraltarAeropostale" "Breguet 14F-ALBA" "2/2(0)" 1921 1921-02-15 2 2 0
"410" "22 Feb 1921" "Elko, NevadaUS Aerial Mail Service" "De Havilland DH-467" "1/1(0)" 1921 1921-02-22 1 1 0
"52" "06 Apr 1921" "Point Cook, AustraliaMilitary - Royal Australian Air Force" "Avro 504H3021" "2/2(0)" 1921 1921-04-06 2 2 0
"61" "21 Apr 1921" "Mitchel Field, NYUS Aerial Mail Service" "De Havilland DH-4160" "1/1(0)" 1921 1921-04-21 1 1 0
"71" "29 Apr 1921" "Cleveland, OhioUS Aerial Mail Service" "De Havilland DH-4196" "1/1(0)" 1921 1921-04-29 1 1 0
"81" "17 May 1921" "Rock Springs, WyomingUS Aerial Mail Service" "De Havilland DH-4
De Havilland DH-4176" "1/1(0)" 1921 1921-05-17 1 1 0
"91" "14 Aug 1921" "Toulouse, FranceAeropostale" "Breguet 14F-ALBI" "2/2(0)" 1921 1921-08-14 2 2 0
"101" "24 Aug 1921" "River Humber, EnglandMilitary - Royal Airship Works" "Royal Airship Works ZR-2 (airship)R-38" "43/49(1)" 1921 1921-08-24 43 49 1
"111" "06 Sep 1921" "Paris, FranceFranco-Roumaine" "Potez IXF-ADCD" "5/5(0)" 1921 1921-09-06 5 5 0
"121" "05 Dec 1921" "Near Murchinson River, AustraliaWest Australian Airways" "Bristol 28 TourerG-AUDI" "2/2(0)" 1921 1921-12-05 2 2 0
"112" "14 Jan 1922" "Paris, FranceHandley Page Transport" "Handley Page O/10G-EATN" "5/5(5)" 1922 1922-01-14 5 5 5
"211" "21 Feb 1922" "Near Norfolk, VirginiaMilitary - U.S. Army Air Service" "Dirigible Roma (airship)?" "34/45(0)" 1922 1922-02-21 34 45 0
"311" "22 Mar 1922" "North Atlantic OceanAero Limited" "Aeromarine Model 85 (flying boat)?" "5/6(0)" 1922 1922-03-22 5 6 0
"411" "07 Apr 1922" "Grandvilliers, FranceDaimler Airways / Grands Express Aeriens" "de Havilland DH-18 / Farman F-60 GoliathG-EAOW/FGEAD" "7/7(0)" 1922 1922-04-07 7 7 0
"53" "08 Apr 1922" "Pao Ting Fou, China?" "??" "17/17(0)" 1922 1922-04-08 17 17 0
"62" "03 Jun 1922" "Off Folkestone, Kent, EnglandCie des Messageries Aeriennes" "Bleriot Spad 27F-ACMH" "3/3(0)" 1922 1922-06-03 3 3 0
"72" "04 Jul 1922" "Fuhlsbuttel, Germany?" "LVG C VI?" "2/3(0)" 1922 1922-07-04 2 3 0
"82" "16 Jul 1922" "Near Saverne, Lorraine, FranceCompagnie Franco-Roumaine de Navigaation Aerienne" "Potez 29F-FREI" "5/5(0)" 1922 1922-07-16 5 5 0
"92" "26 Jul 1922" "Cadix, SpainGrands Express Aeriens" "Breguet 14F-ALVE" "3/3(0)" 1922 1922-07-26 3 3 0
"102" "07 Sep 1922" "Indianapolis, IndianaUS Aerial Mail Service" "De Havilland DH-4227" "1/1(0)" 1922 1922-09-07 1 1 0
"113" "02 Oct 1922" "Venice, Italyde Havilland Air Service" "de Havilland DH-9G-EAYT" "4/4(0)" 1922 1922-10-02 4 4 0
"122" "25 Oct 1922" "Larache, MoroccoGrands Express Aeriens" "Breguet 14?" "2/2(0)" 1922 1922-10-25 2 2 0
"131" "03 Dec 1922" "Fez, MoroccoGrands Express Aeriens" "Breguet 14F-ALNA" "1/1(0)" 1922 1922-12-03 1 1 0
"114" "10 Jan 1923" "Ajaccio, FranceAmee de l'Air" "Lioré-et-Olivier H-13F-AEIB" "3/4(0)" 1923 1923-01-10 3 4 0
"212" "17 Jan 1923" "Barcelona, SpainGrands Express Aeriens" "Breguet 14F-ALJU" "1/1(0)" 1923 1923-01-17 1 1 0
