gun expt num_pellets range_m sqrt.area_cm range_ft sqrt.area_inch
Stevens train 27 3.048 6.604 10 2.6
Stevens train 27 3.048 8.509 10 3.35
Stevens train 27 3.048 8.4582 10 3.33
Stevens train 27 3.048 7.7724 10 3.06
Stevens train 27 3.048 8.5852 10 3.38
Stevens train 27 3.048 9.779 10 3.85
Stevens train 27 6.096 17.3736 20 6.84
Stevens train 27 6.096 16.0528 20 6.32
Stevens train 27 6.096 17.6784 20 6.96
Stevens train 27 6.096 14.859 20 5.85
Stevens train 27 6.096 15.113 20 5.95
Stevens train 27 6.096 15.9766 20 6.29
Stevens train 27 9.144 16.5354 30 6.51
Stevens train 27 9.144 17.0688 30 6.72
Stevens train 27 9.144 20.9296 30 8.24
Stevens train 27 9.144 18.7452 30 7.38
Stevens train 27 9.144 24.9936 30 9.84
Stevens train 27 9.144 23.9268 30 9.42
Stevens train 27 12.192 26.1112 40 10.28
Stevens train 27 12.192 29.1338 40 11.47
Stevens train 27 12.192 35.814 40 14.1
Stevens train 27 12.192 31.8516 40 12.54
Stevens train 27 12.192 40.9702 40 16.13
Stevens train 27 12.192 28.0162 40 11.03
Stevens train 27 15.24 29.972 50 11.8
Stevens train 27 15.24 34.8996 50 13.74
Stevens train 27 15.24 38.5572 50 15.18
Stevens train 27 15.24 51.1302 50 20.13
Stevens train 27 15.24 43.0276 50 16.94
Stevens train 27 15.24 35.7886 50 14.09
Remington train 9 3.048 7.6454 10 3.01
Remington train 9 3.048 7.6708 10 3.02
Remington train 9 3.048 8.3566 10 3.29
Remington train 9 3.048 7.62 10 3
Remington train 9 3.048 8.128 10 3.2
Remington train 9 3.048 7.8994 10 3.11
Remington train 9 6.096 14.1478 20 5.57
Remington train 9 6.096 12.7 20 5
Remington train 9 6.096 13.7668 20 5.42
Remington train 9 6.096 14.5542 20 5.73
Remington train 9 6.096 13.4366 20 5.29
Remington train 9 6.096 12.954 20 5.1
Remington train 9 9.144 20.5486 30 8.09
Remington train 9 9.144 17.272 30 6.8
Remington train 9 9.144 20.193 30 7.95
Remington train 9 9.144 21.8948 30 8.62
Remington train 9 9.144 21.3614 30 8.41
Remington train 9 9.144 21.8948 30 8.62
Remington train 9 12.192 27.4574 40 10.81
Remington train 9 12.192 25.8826 40 10.19
Remington train 9 12.192 33.0454 40 13.01
Remington train 9 12.192 28.3718 40 11.17
Remington train 9 12.192 28.7782 40 11.33
Remington train 9 12.192 23.749 40 9.35
Remington train 9 15.24 40.8178 50 16.07
Remington train 9 15.24 37.846 50 14.9
Remington train 9 15.24 44.3738 50 17.47
Remington train 9 15.24 36.0934 50 14.21
Remington train 9 15.24 33.3502 50 13.13
Remington train 9 15.24 30.3022 50 11.93
Stevens predict 27 5.7912 14.5796 19 5.74
Stevens predict 27 11.5824 35.052 38 13.8
Stevens predict 27 13.716 42.3164 45 16.66
Stevens predict 27 6.7056 15.1892 22 5.98
Stevens predict 27 9.144 23.4442 30 9.23
Remington predict 9 13.716 35.9918 45 14.17
Remington predict 9 4.2672 8.7376 14 3.44
Remington predict 9 13.4112 32.0294 44 12.61
Remington predict 9 10.9728 26.035 36 10.25
Remington predict 9 11.2776 25.2984 37 9.96
