"","group","RI"
"1","T",1.51985578547938
"2","T",1.51980215145726
"3","T",1.51982494988444
"4","T",1.51976904525986
"5","T",1.51977017009186
"6","T",1.51979010917107
"7","T",1.51989358814326
"8","T",1.51978899971861
"9","T",1.51977070169112
"10","T",1.51977664946478
"11","T",1.51984515237427
"12","T",1.51985731111101
"13","T",1.51986470045101
"14","T",1.51973281269228
"15","T",1.51983293219229
"16","T",1.51981859337687
"17","T",1.51981706011815
"18","T",1.51983783256953
"19","T",1.51980591904472
"20","T",1.51982942643865
"21","K",1.51958128328948
"22","K",1.51956215072032
"23","K",1.51952284727995
"24","K",1.51964289744127
"25","K",1.51958762240718
"26","K",1.51954438189376
"27","K",1.51963030306849
"28","K",1.51951624684277
"29","K",1.51951030880886
"30","K",1.51954367330591
"31","K",1.51950066634163
"32","K",1.51963752073549
"33","K",1.51950849120983
"34","K",1.51949844058183
"35","K",1.51956076432099
"36","K",1.51952731435281
"37","K",1.51953723442923
"38","K",1.519484369926
